test,Date,Time,Activity,Market,Direction,Quantity,Price,Currency,Consideration,Commission,Charges,Cost/Proceeds,Conversion rate,Order type,Venue ID,Settled?,Settlement date,Order ID
,9/1/2020,23:54:25,TRADE,Webjet Ltd,SELL,-39,13.32,AUD,519.48,-7.27,-0.73,-511.48,1,LIMIT,XOFF,Y,13/01/2020,M8D48:892672~40916
,2/1/2020,4:04:34,TRADE,Pilbara Minerals Limited,BUY,4296,0.3075,AUD,-1321.02,-7.27,-0.73,-1329.02,1,LIMIT,XOFF,Y,6/1/2020,M8D48:891125~3858
,11/12/2019,1:12:09,TRADE,NEXTDC Ltd,SELL,-200,6.75,AUD,1350,-7.27,-0.73,-1342,1,LIMIT,XOFF,Y,13/12/2019,M8D48:881654~521
,22/11/2019,23:11:54,TRADE,Webjet Ltd,BUY,40,12.26,AUD,-490.4,-7.27,-0.73,-498.4,1,LIMIT,XOFF,Y,26/11/2019,M8D48:867265~17941
,20/11/2019,23:58:55,TRADE,Webjet Ltd,SELL,-38,13.25,AUD,503.5,-7.27,-0.73,-495.5,1,LIMIT,XOFF,Y,22/11/2019,M8D48:866456~20630
,19/11/2019,23:52:14,CORPORATE ACTION,Altura Mining Limited Rights Issue - Non Tradable,SELL,-1680,0,AUD,0,,0,0,1,LIMIT,,Y,19/11/2019,Z8750-BL184517
,1/11/2019,6:13:36,CORPORATE ACTION,Altura Mining Limited Rights Issue - Non Tradable,BUY,1680,0,AUD,0,,0,0,1,LIMIT,,Y,1/11/2019,Z8750-BL181273
,8/10/2019,1:59:59,TRADE,Webjet Ltd,BUY,38,10.2,AUD,-387.6,-7.27,-0.73,-395.6,1,LIMIT,XOFF,Y,10/10/2019,M8D48:840126~1176
,24/09/2019,3:38:34,TRADE,Altura Mining Limited,BUY,6648,0.074,AUD,-491.95,-7.27,-0.73,-499.95,1,LIMIT,XOFF,Y,26/09/2019,M8D48:834240~2366
,24/09/2019,3:33:51,TRADE,Westpac Banking Corp,SELL,-30,29.98,AUD,899.4,-7.27,-0.73,-891.4,1,LIMIT,XOFF,Y,26/09/2019,M8D48:834243~2486
,5/9/2019,1:16:58,TRADE,Pilbara Minerals Limited,BUY,1312,0.369935,AUD,-485.35,-7.27,-0.73,-493.35,1,LIMIT,XOFF,Y,9/9/2019,M8D48:824920~781
,27/06/2019,2:56:41,TRADE,NEXTDC Ltd,BUY,200,6.4,AUD,-1280,-7.27,-0.73,-1288,1,LIMIT,XOFF,Y,1/7/2019,M8D48:788405~773
,27/06/2019,2:42:54,TRADE,Pilbara Minerals Limited,BUY,1440,0.55,AUD,-792,-7.27,-0.73,-800,1,LIMIT,XOFF,Y,1/7/2019,M8D48:788405~691
,18/06/2019,3:51:27,TRADE,Pilbara Minerals Limited,BUY,2486,0.6,AUD,-1491.6,-7.27,-0.73,-1499.6,1,LIMIT,XOFF,Y,20/06/2019,M8D48:783129~1619
,26/04/2019,2:46:26,TRADE,NEXTDC Ltd,SELL,-322,6.415,AUD,2065.63,-7.27,-0.73,-2057.63,1,LIMIT,XOFF,Y,30/04/2019,M8D48:760393~1506
,2/4/2019,0:27:55,TRADE,NEXTDC Ltd,BUY,322,6.18,AUD,-1989.96,-7.27,-0.73,-1997.96,1,LIMIT,XOFF,Y,4/4/2019,M8D48:748491~187
,1/4/2019,4:26:26,TRADE,Altura Mining Limited,BUY,3274,0.135,AUD,-441.99,-7.27,-0.73,-449.99,1,LIMIT,XOFF,Y,3/4/2019,M8D48:748490~2609
,26/03/2019,23:27:46,TRADE,Pilbara Minerals Limited,BUY,694,0.68,AUD,-471.92,-7.27,-0.73,-479.92,1,LIMIT,XOFF,Y,28/03/2019,M8D48:742695~12832
,14/02/2019,1:15:15,TRADE,NEXTDC Ltd,SELL,-499,6.965,AUD,3475.54,-7.27,-0.73,-3467.54,1,LIMIT,XOFF,Y,18/02/2019,M8D48:718283~919
,31/01/2019,1:03:41,TRADE,Pilbara Minerals Limited,BUY,745,0.66,AUD,-491.7,-7.27,-0.73,-499.7,1,LIMIT,XOFF,Y,4/2/2019,M8D48:712128~939
,20/12/2018,0:20:15,TRADE,Pilbara Minerals Limited,BUY,802,0.6725,AUD,-539.35,-7.27,-0.73,-547.35,1,LIMIT,XOFF,Y,24/12/2018,M8D48:694975~85
,13/11/2018,4:52:24,TRADE,Westpac Banking Corp,BUY,30,26.24,AUD,-787.2,-7.27,-0.73,-795.2,1,LIMIT,XOFF,Y,15/11/2018,M8D48:678796~2219
,9/11/2018,23:26:49,TRADE,NEXTDC Ltd,BUY,500,6.25,AUD,-3125,-7.27,-0.73,-3133,1,MARKET,XOFF,Y,13/11/2018,M8D48:676887~12278
,9/11/2018,23:26:23,TRADE,Pilbara Minerals Limited,BUY,1000,0.85,AUD,-850,-7.27,-0.73,-858,1,MARKET,XOFF,Y,13/11/2018,M8D48:676881~11876
,9/11/2018,23:25:55,TRADE,Altura Mining Limited,BUY,1000,0.24,AUD,-240,-7.27,-0.73,-248,1,MARKET,XOFF,Y,13/11/2018,M8D48:676887~12273
,4/4/2018,5:00:23,TRADE,Pilbara Minerals Limited,BUY,466,0.833755,AUD,-388.53,-7.27,-0.73,-396.53,1,LIMIT,XOFF,Y,6/4/2018,M8D48:579255~761
